494,1,494,"Dr. Patricia Nina Nina","Cirugía General","Médico Especialista","III Nivel","COLMED-SC-7776",39
495,1,495,"Dra. Daniela Aguilar Mendoza","Endocrinología","Cirujano","III Nivel","COLMED-SC-9093",16
496,1,496,"Dra. Jorge Rojas Ticona","Traumatología","Médico Residente","I Nivel","COLMED-PO-7719",38
497,1,497,"Dra. Carmen Pérez Vargas","Cirugía General","Médico General","II Nivel","COLMED-LP-2853",10
498,1,498,"Lic. María Rocha Vargas","Dermatología","Enfermera","II Nivel","COLMED-LP-5060",14
499,1,499,"Lic. Laura Condori Ticona","Cardiología","Técnico Sanitario","III Nivel","COLMED-PA-3732",10
500,1,500,"Dra. Martha Choque Salvatierra","Traumatología","Cirujano","III Nivel","COLMED-OR-2600",4
501,1,501,"Lic. Rosa Mamani Pérez","Endocrinología","Técnico Sanitario","I Nivel","COLMED-PO-2248",11
502,1,502,"Dra. José Condori Ticona","Anestesiología","Médico General","I Nivel","COLMED-OR-5901",23
503,1,503,"Lic. José Aguilar Vargas","Dermatología","Técnico Sanitario","I Nivel","COLMED-PO-5688",4
504,1,504,"Dr. Luis Zárate Vargas","Medicina Interna","Cirujano","III Nivel","COLMED-LP-9679",22
505,1,505,"Dra. José Choque Quispe","Cardiología","Médico Residente","III Nivel","COLMED-CH-3106",26
506,1,506,"Dra. Martha Choque Mendoza","Ginecología y Obstetricia","Cirujano","II Nivel","COLMED-OR-8318",20
507,1,507,"Dra. María Quispe Nina","Neurología","Cirujano","I Nivel","COLMED-LP-5627",31
508,1,508,"Lic. Hugo Arce Rocha","Neurología","Enfermera","II Nivel","COLMED-BE-7438",24
509,1,509,"Lic. Hugo Aguilar Gutiérrez","Urología","Técnico Sanitario","I Nivel","COLMED-CH-7290",25
510,1,510,"Dra. Jorge Vaca Gutiérrez","Ginecología y Obstetricia","Cirujano","II Nivel","COLMED-BE-9377",39
511,1,511,"Dra. Rosa Pérez Vaca","Medicina Interna","Médico General","III Nivel","COLMED-OR-1850",26
512,1,512,"Dra. Rosa Ticona Rojas","Medicina Interna","Cirujano","I Nivel","COLMED-PA-3562",26
513,1,513,"Dr. Daniela Zárate Rocha","Anestesiología","Médico Residente","I Nivel","COLMED-CH-3605",2
514,1,514,"Lic. Raúl Aguilar Rojas","Medicina General","Enfermera Jefe","II Nivel","COLMED-LP-6975",9
515,1,515,"Lic. Daniela Vaca Mamani","Pediatría","Técnico Sanitario","III Nivel","COLMED-LP-6955",1
516,1,516,"Dra. Juan Pinto Rocha","Medicina Interna","Cirujano","II Nivel","COLMED-CH-3030",30
517,1,517,"Lic. Carmen Pérez Mamani","Traumatología","Enfermera Jefe","I Nivel","COLMED-PO-2884",30
518,1,518,"Dr. Silvia Vaca Salvatierra","Cirugía General","Médico Residente","III Nivel","COLMED-PA-4601",18
519,1,519,"Lic. Ana Pérez Rocha","Cirugía General","Enfermera","II Nivel","COLMED-CH-2554",24
520,1,520,"Lic. Laura Arce Nina","Oftalmología","Técnico Sanitario","III Nivel","COLMED-PA-2622",32
521,1,521,"Dra. María Gutiérrez Gutiérrez","Medicina Interna","Médico Residente","III Nivel","COLMED-LP-9543",26
522,1,522,"Dr. Carlos Rocha Choque","Cirugía General","Médico General","I Nivel","COLMED-SC-5862",9
523,1,523,"Dra. Silvia Arce Aguilar","Cirugía General","Médico Especialista","III Nivel","COLMED-CB-4960",13
524,1,524,"Dr. Jorge Pérez Mercado","Urología","Médico Especialista","I Nivel","COLMED-CB-2375",36
525,1,525,"Lic. Hugo Quispe Arce","Medicina General","Enfermera Jefe","III Nivel","COLMED-CB-7889",30
526,1,526,"Dr. Patricia Choque Choque","Cardiología","Médico General","I Nivel","COLMED-OR-2765",5
527,1,527,"Dra. José Rojas Mamani","Cardiología","Cirujano","II Nivel","COLMED-SC-1470",19
528,1,528,"Lic. Marcos Arce Mendoza","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-OR-9767",7
529,1,529,"Dr. Pedro Pérez Zárate","Oftalmología","Médico Especialista","I Nivel","COLMED-CH-3078",4
530,1,530,"Dra. María Ticona Vaca","Neurología","Médico Residente","III Nivel","COLMED-OR-9033",22
531,1,531,"Dr. José Rocha Condori","Medicina Interna","Médico Especialista","III Nivel","COLMED-CB-2635",19
532,1,532,"Dr. Pedro Mendoza Arce","Cardiología","Médico Especialista","III Nivel","COLMED-PO-7289",20
533,1,533,"Dr. Carmen Gutiérrez Mercado","Urología","Médico Especialista","II Nivel","COLMED-LP-5862",38
534,1,534,"Dra. Carlos Mamani Rojas","Cardiología","Médico Especialista","III Nivel","COLMED-CB-5984",6
535,1,535,"Dra. Carmen Aguilar Condori","Traumatología","Médico General","II Nivel","COLMED-CB-8463",16
536,1,536,"Dr. Luis Pinto Rojas","Cardiología","Médico General","II Nivel","COLMED-PA-2571",18
537,1,537,"Dr. Daniela Vaca Flores","Pediatría","Médico General","III Nivel","COLMED-OR-5100",2
538,1,538,"Dr. Juan Nina Ticona","Medicina Interna","Médico General","III Nivel","COLMED-PA-9942",29
539,1,539,"Dra. Rosa Arce Zárate","Traumatología","Médico General","I Nivel","COLMED-SC-2246",32
540,1,540,"Dra. Javier Quispe Choque","Neurología","Médico Residente","III Nivel","COLMED-PA-6492",10
541,1,541,"Lic. Daniela Mercado Rojas","Neurología","Enfermera Jefe","I Nivel","COLMED-OR-2053",30
542,1,542,"Lic. Pedro Nina Ticona","Pediatría","Técnico Sanitario","II Nivel","COLMED-LP-5884",33
543,1,543,"Dra. Laura Arce Salvatierra","Pediatría","Médico General","II Nivel","COLMED-OR-4722",26
544,1,544,"Dra. Rosa Quispe Vargas","Medicina Interna","Médico Especialista","III Nivel","COLMED-LP-2621",39
545,1,545,"Dra. Laura Vaca Vargas","Cardiología","Médico General","I Nivel","COLMED-CH-7461",16
546,1,546,"Lic. Pedro Choque Condori","Cirugía General","Enfermera Jefe","II Nivel","COLMED-LP-6766",8
547,1,547,"Lic. Laura Vargas Zárate","Cirugía General","Técnico Sanitario","I Nivel","COLMED-PA-3193",5
548,1,548,"Lic. Hugo Choque Zárate","Medicina General","Técnico Sanitario","II Nivel","COLMED-CH-4054",36
549,1,549,"Dr. María Vargas Arce","Ginecología y Obstetricia","Médico Especialista","II Nivel","COLMED-TJ-5805",4
550,1,550,"Dra. Javier Pérez Rojas","Neurología","Médico Residente","I Nivel","COLMED-CH-8321",19
551,1,551,"Dr. Laura Mamani Pérez","Cirugía General","Médico Especialista","II Nivel","COLMED-LP-3145",4
552,1,552,"Dr. Patricia Mamani Mendoza","Oftalmología","Médico General","III Nivel","COLMED-PA-7790",31
553,1,553,"Lic. Javier Quispe Gutiérrez","Anestesiología","Técnico Sanitario","III Nivel","COLMED-PO-1225",5
554,1,554,"Lic. Raúl Vaca Quispe","Anestesiología","Enfermera","II Nivel","COLMED-SC-1088",17
555,1,555,"Lic. María Rojas Choque","Pediatría","Enfermera Jefe","II Nivel","COLMED-PO-3801",12
556,1,556,"Dra. Hugo Quispe Rocha","Urología","Médico Residente","II Nivel","COLMED-OR-4885",36
557,1,557,"Dr. Fernando Gutiérrez Quispe","Cirugía General","Cirujano","III Nivel","COLMED-PO-2768",17
558,1,558,"Dra. Pedro Vargas Mamani","Cardiología","Médico Residente","III Nivel","COLMED-CB-3074",11
559,1,559,"Lic. Daniela Mamani Mercado","Pediatría","Enfermera Jefe","II Nivel","COLMED-TJ-4167",8
560,1,560,"Lic. Silvia Quispe Vaca","Neurología","Enfermera","I Nivel","COLMED-CB-3670",14
561,1,561,"Lic. Marcos Gutiérrez Rojas","Medicina General","Técnico Sanitario","I Nivel","COLMED-SC-9259",5
562,1,562,"Lic. Ana Zárate Mercado","Dermatología","Enfermera Jefe","I Nivel","COLMED-PA-4265",22
563,1,563,"Lic. Luis Salvatierra Vargas","Anestesiología","Enfermera","II Nivel","COLMED-TJ-4126",24
564,1,564,"Dr. Marcos Rocha Mercado","Ginecología y Obstetricia","Cirujano","III Nivel","COLMED-BE-2823",4
565,1,565,"Lic. Javier Nina Condori","Ginecología y Obstetricia","Enfermera Jefe","III Nivel","COLMED-TJ-1555",38
566,1,566,"Dr. Silvia Arce Rojas","Dermatología","Médico General","II Nivel","COLMED-CH-6842",16
567,1,567,"Dra. Juan Zárate Flores","Urología","Cirujano","II Nivel","COLMED-CH-6169",38
568,1,568,"Dra. Daniela Vaca Vaca","Dermatología","Médico Residente","I Nivel","COLMED-SC-7485",12
569,1,569,"Lic. Jorge Gutiérrez Mendoza","Medicina General","Enfermera Jefe","III Nivel","COLMED-OR-4770",32
570,1,570,"Lic. Laura Zárate Rocha","Cirugía General","Enfermera","I Nivel","COLMED-OR-8441",13
571,1,571,"Lic. Javier Vaca Rojas","Endocrinología","Técnico Sanitario","I Nivel","COLMED-PO-5013",38
572,1,572,"Lic. Daniela Condori Ticona","Cirugía General","Enfermera","III Nivel","COLMED-CB-4246",20
573,1,573,"Dra. Juan Vaca Choque","Endocrinología","Médico General","II Nivel","COLMED-LP-1104",19
574,1,574,"Lic. Silvia Zárate Pinto","Urología","Técnico Sanitario","I Nivel","COLMED-SC-7337",9
575,1,575,"Dra. José Arce Flores","Cirugía General","Médico Residente","III Nivel","COLMED-PA-1442",19
576,1,576,"Dr. Javier Flores Gutiérrez","Ginecología y Obstetricia","Médico General","I Nivel","COLMED-PA-2747",10
577,1,577,"Dr. Pedro Nina Pinto","Endocrinología","Cirujano","I Nivel","COLMED-PA-6588",14
578,1,578,"Dr. Martha Pinto Mercado","Anestesiología","Médico General","I Nivel","COLMED-PA-8333",30
579,1,579,"Lic. María Rocha Vaca","Traumatología","Enfermera","III Nivel","COLMED-BE-7317",36
580,1,580,"Dra. Pedro Nina Rojas","Cardiología","Médico General","II Nivel","COLMED-SC-1548",2
581,1,581,"Dr. María Salvatierra Gutiérrez","Medicina Interna","Médico Residente","I Nivel","COLMED-CB-8747",24
582,1,582,"Lic. Daniela Pinto Rocha","Neurología","Técnico Sanitario","II Nivel","COLMED-PO-5148",26
583,1,583,"Dr. Jorge Mamani Quispe","Medicina General","Médico General","II Nivel","COLMED-CH-9928",30
584,1,584,"Dra. Carmen Vaca Gutiérrez","Cardiología","Médico General","III Nivel","COLMED-TJ-3036",37
585,1,585,"Dr. Marcos Choque Gutiérrez","Pediatría","Médico Especialista","III Nivel","COLMED-SC-2060",19
586,1,586,"Lic. Carlos Quispe Choque","Urología","Enfermera","II Nivel","COLMED-LP-6183",32
587,1,587,"Dra. Rosa Quispe Pérez","Cirugía General","Médico Residente","II Nivel","COLMED-BE-8766",34
588,1,588,"Lic. Daniela Choque Arce","Urología","Técnico Sanitario","II Nivel","COLMED-LP-5715",11
589,1,589,"Dr. Jorge Gutiérrez Pérez","Traumatología","Médico Especialista","II Nivel","COLMED-BE-2993",12
590,1,590,"Lic. Luis Salvatierra Pinto","Medicina Interna","Enfermera","II Nivel","COLMED-LP-3257",1
591,1,591,"Dra. Luis Pérez Salvatierra","Oftalmología","Médico General","III Nivel","COLMED-PO-7246",27
592,1,592,"Dr. Marcos Rojas Vargas","Neurología","Médico General","I Nivel","COLMED-TJ-8280",5
593,1,593,"Lic. Pedro Aguilar Arce","Endocrinología","Enfermera","III Nivel","COLMED-CB-1839",13
594,1,594,"Dra. Carlos Nina Arce","Urología","Médico General","II Nivel","COLMED-CH-5441",28
595,1,595,"Dra. Carmen Vargas Rojas","Anestesiología","Médico General","II Nivel","COLMED-CH-7419",35
596,1,596,"Lic. Carmen Mendoza Condori","Endocrinología","Enfermera","II Nivel","COLMED-LP-3229",38
597,1,597,"Lic. Pedro Nina Arce","Anestesiología","Técnico Sanitario","II Nivel","COLMED-CB-8475",21
598,1,598,"Lic. Carlos Quispe Zárate","Pediatría","Enfermera Jefe","III Nivel","COLMED-BE-8198",5
599,1,599,"Dr. Rosa Ticona Rocha","Cirugía General","Cirujano","III Nivel","COLMED-SC-2340",22
600,1,600,"Lic. María Mercado Ticona","Anestesiología","Enfermera","III Nivel","COLMED-PO-4517",5
601,1,601,"Dr. María Flores Vargas","Oftalmología","Médico Especialista","II Nivel","COLMED-SC-5461",33
602,1,602,"Dr. Martha Rojas Vargas","Pediatría","Cirujano","III Nivel","COLMED-SC-4227",14
603,1,603,"Lic. Ana Condori Vaca","Cirugía General","Enfermera Jefe","III Nivel","COLMED-OR-9230",15
604,1,604,"Dra. Fernando Salvatierra Mercado","Anestesiología","Médico Especialista","I Nivel","COLMED-CB-3534",3
605,1,605,"Dra. Jorge Nina Ticona","Anestesiología","Médico Residente","III Nivel","COLMED-SC-9184",13
606,1,606,"Dr. Fernando Gutiérrez Choque","Cardiología","Médico Residente","III Nivel","COLMED-PA-2204",39
607,1,607,"Dra. Jorge Mercado Aguilar","Cardiología","Médico General","II Nivel","COLMED-OR-6684",26
608,1,608,"Lic. Daniela Arce Pinto","Medicina General","Enfermera Jefe","II Nivel","COLMED-SC-3055",11
609,1,609,"Lic. Marcos Condori Aguilar","Medicina General","Enfermera Jefe","I Nivel","COLMED-CH-3585",28
610,1,610,"Dr. Carlos Rojas Rojas","Pediatría","Cirujano","I Nivel","COLMED-PA-8155",18
611,1,611,"Lic. Martha Mamani Gutiérrez","Oftalmología","Técnico Sanitario","I Nivel","COLMED-PO-9944",39
612,1,612,"Dr. Fernando Zárate Vaca","Cirugía General","Médico Residente","I Nivel","COLMED-OR-5482",28
613,1,613,"Lic. Hugo Vargas Mercado","Anestesiología","Enfermera Jefe","II Nivel","COLMED-CH-8874",25
614,1,614,"Lic. Fernando Zárate Choque","Cirugía General","Enfermera","I Nivel","COLMED-CH-1474",11
615,1,615,"Lic. Ana Choque Mercado","Dermatología","Técnico Sanitario","II Nivel","COLMED-SC-6203",18
616,1,616,"Lic. Martha Vaca Arce","Neurología","Enfermera","I Nivel","COLMED-PA-8050",21
617,1,617,"Lic. Luis Nina Zárate","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-OR-4543",38
618,1,618,"Lic. Silvia Aguilar Mamani","Ginecología y Obstetricia","Enfermera Jefe","III Nivel","COLMED-OR-1741",7
619,1,619,"Dr. Daniela Ticona Quispe","Endocrinología","Médico Residente","II Nivel","COLMED-BE-6252",15
620,1,620,"Lic. Juan Mamani Arce","Medicina Interna","Enfermera","II Nivel","COLMED-CH-6953",13
621,1,621,"Dr. Carlos Mamani Flores","Cardiología","Médico General","I Nivel","COLMED-TJ-2429",17
622,1,622,"Dra. Javier Vargas Mendoza","Medicina Interna","Médico Especialista","I Nivel","COLMED-LP-6479",4
623,1,623,"Dra. Patricia Zárate Arce","Cardiología","Médico Residente","II Nivel","COLMED-PO-9472",27
624,1,624,"Dr. María Pérez Pérez","Ginecología y Obstetricia","Médico Residente","II Nivel","COLMED-OR-8888",26
625,1,625,"Dr. Martha Choque Quispe","Neurología","Médico Residente","III Nivel","COLMED-CB-7660",26
626,1,626,"Dr. Marcos Quispe Salvatierra","Urología","Médico Residente","II Nivel","COLMED-PO-1793",15
627,1,627,"Lic. Jorge Pinto Quispe","Cardiología","Técnico Sanitario","III Nivel","COLMED-CB-8648",40
628,1,628,"Lic. Jorge Mamani Flores","Endocrinología","Enfermera Jefe","II Nivel","COLMED-OR-3159",1
629,1,629,"Lic. Laura Arce Pérez","Traumatología","Enfermera Jefe","II Nivel","COLMED-PO-1144",13
630,1,630,"Dr. Javier Nina Choque","Traumatología","Médico Especialista","II Nivel","COLMED-LP-6895",3
631,1,631,"Lic. Ana Quispe Rojas","Medicina General","Enfermera","III Nivel","COLMED-PO-7288",35
632,1,632,"Dr. Daniela Pinto Zárate","Neurología","Cirujano","III Nivel","COLMED-BE-7118",31
633,1,633,"Lic. Pedro Arce Salvatierra","Oftalmología","Enfermera Jefe","III Nivel","COLMED-LP-2235",8
634,1,634,"Lic. María Mendoza Aguilar","Cirugía General","Enfermera","II Nivel","COLMED-PA-4608",26
635,1,635,"Dr. Juan Pinto Nina","Neurología","Médico Especialista","II Nivel","COLMED-SC-1700",3
636,1,636,"Lic. Patricia Salvatierra Zárate","Medicina Interna","Enfermera Jefe","III Nivel","COLMED-PA-2725",18
637,1,637,"Dr. Luis Vaca Ticona","Anestesiología","Cirujano","II Nivel","COLMED-SC-1028",16
638,1,638,"Lic. Pedro Condori Quispe","Cirugía General","Enfermera","I Nivel","COLMED-SC-9354",19
639,1,639,"Dra. Martha Arce Pérez","Cardiología","Médico General","II Nivel","COLMED-PO-5049",37
640,1,640,"Lic. Pedro Mercado Flores","Neurología","Técnico Sanitario","I Nivel","COLMED-LP-2532",19
641,1,641,"Lic. Juan Flores Aguilar","Traumatología","Enfermera","I Nivel","COLMED-CB-2055",34
642,1,642,"Dr. Carmen Salvatierra Mamani","Dermatología","Médico Residente","III Nivel","COLMED-LP-2626",34
643,1,643,"Dr. Ana Choque Quispe","Cirugía General","Médico Especialista","I Nivel","COLMED-PA-7704",20
644,1,644,"Dr. Martha Mamani Vaca","Endocrinología","Médico Residente","II Nivel","COLMED-PO-2051",33
645,1,645,"Lic. Luis Ticona Vaca","Dermatología","Enfermera","III Nivel","COLMED-PA-3502",15
646,1,646,"Dr. Ana Gutiérrez Choque","Cirugía General","Médico Especialista","II Nivel","COLMED-OR-6310",28
647,1,647,"Lic. Javier Pérez Ticona","Dermatología","Técnico Sanitario","II Nivel","COLMED-SC-7557",8
648,1,648,"Lic. Carmen Choque Rocha","Urología","Enfermera","II Nivel","COLMED-PO-2853",23
649,1,649,"Lic. Hugo Aguilar Rojas","Cirugía General","Técnico Sanitario","III Nivel","COLMED-PO-9952",3
650,1,650,"Lic. Silvia Choque Ticona","Oftalmología","Enfermera Jefe","I Nivel","COLMED-CH-6992",24
651,1,651,"Lic. Patricia Zárate Ticona","Cirugía General","Enfermera Jefe","III Nivel","COLMED-PA-5556",17
652,1,652,"Lic. Juan Choque Pinto","Medicina General","Enfermera","I Nivel","COLMED-OR-4855",21
653,1,653,"Dr. Raúl Mendoza Zárate","Traumatología","Médico Especialista","II Nivel","COLMED-OR-5802",15
654,1,654,"Lic. Rosa Quispe Vargas","Medicina Interna","Enfermera","II Nivel","COLMED-SC-5459",18
655,1,655,"Lic. Silvia Nina Mendoza","Oftalmología","Enfermera","III Nivel","COLMED-OR-8557",3
656,1,656,"Dra. Laura Vaca Pérez","Neurología","Médico General","III Nivel","COLMED-BE-8087",32
657,1,657,"Dra. Pedro Gutiérrez Arce","Urología","Médico General","II Nivel","COLMED-CH-9607",32
658,1,658,"Dr. Fernando Salvatierra Pinto","Anestesiología","Médico Especialista","III Nivel","COLMED-PA-3558",19
659,1,659,"Lic. Carlos Aguilar Nina","Endocrinología","Técnico Sanitario","I Nivel","COLMED-TJ-8708",2
660,1,660,"Lic. Pedro Pérez Vaca","Oftalmología","Técnico Sanitario","I Nivel","COLMED-BE-2260",37
661,1,661,"Lic. Marcos Pinto Mamani","Cirugía General","Enfermera Jefe","II Nivel","COLMED-PO-6036",12
662,1,662,"Dra. Rosa Pinto Mamani","Neurología","Médico General","III Nivel","COLMED-CB-1993",7
663,1,663,"Dra. Rosa Pérez Flores","Pediatría","Cirujano","II Nivel","COLMED-BE-8133",1
664,1,664,"Dr. Rosa Condori Rojas","Urología","Médico General","III Nivel","COLMED-BE-3129",33
665,1,665,"Dra. Patricia Rocha Salvatierra","Neurología","Médico General","I Nivel","COLMED-BE-9989",35
666,1,666,"Lic. Patricia Mercado Flores","Cirugía General","Enfermera Jefe","I Nivel","COLMED-PA-4025",21
667,1,667,"Lic. José Nina Aguilar","Urología","Enfermera Jefe","III Nivel","COLMED-SC-9958",23
668,1,668,"Dra. Carlos Zárate Arce","Cardiología","Médico Residente","I Nivel","COLMED-PA-5313",34
669,1,669,"Dra. Rosa Mamani Pinto","Anestesiología","Médico General","II Nivel","COLMED-OR-4678",35
670,1,670,"Dr. Fernando Choque Gutiérrez","Anestesiología","Médico Residente","II Nivel","COLMED-OR-3239",6
671,1,671,"Lic. Carmen Arce Rojas","Traumatología","Enfermera","III Nivel","COLMED-PA-4554",8
672,1,672,"Lic. Pedro Flores Pérez","Pediatría","Enfermera Jefe","I Nivel","COLMED-PO-1659",37
673,1,673,"Lic. José Pinto Mendoza","Ginecología y Obstetricia","Enfermera","I Nivel","COLMED-PA-7744",16
674,1,674,"Dr. Jorge Rojas Mamani","Urología","Médico General","III Nivel","COLMED-TJ-4249",37
675,1,675,"Dr. Javier Vaca Aguilar","Cardiología","Médico Especialista","II Nivel","COLMED-PA-2775",32
676,1,676,"Lic. Pedro Nina Choque","Cirugía General","Enfermera Jefe","I Nivel","COLMED-PO-5375",16
677,1,677,"Dr. Raúl Gutiérrez Mercado","Endocrinología","Médico Residente","III Nivel","COLMED-TJ-4489",5
678,1,678,"Lic. Javier Ticona Rocha","Endocrinología","Técnico Sanitario","III Nivel","COLMED-CB-9387",31
679,1,679,"Dr. Luis Pinto Vaca","Dermatología","Médico Especialista","III Nivel","COLMED-SC-2138",30
680,1,680,"Dr. María Mendoza Choque","Traumatología","Médico Residente","III Nivel","COLMED-CH-9872",29
681,1,681,"Lic. Juan Aguilar Mendoza","Ginecología y Obstetricia","Enfermera","III Nivel","COLMED-TJ-3653",19
682,1,682,"Lic. Hugo Salvatierra Mercado","Dermatología","Enfermera","II Nivel","COLMED-CB-1210",10
683,1,683,"Dra. Marcos Zárate Rojas","Oftalmología","Médico Residente","II Nivel","COLMED-CB-1768",19
684,1,684,"Lic. Raúl Salvatierra Salvatierra","Dermatología","Enfermera Jefe","III Nivel","COLMED-OR-8426",9
685,1,685,"Lic. Raúl Condori Mamani","Medicina General","Enfermera","I Nivel","COLMED-LP-3571",10
686,1,686,"Lic. Silvia Rocha Gutiérrez","Oftalmología","Enfermera Jefe","II Nivel","COLMED-OR-1043",32
687,1,687,"Dra. Laura Arce Mendoza","Medicina Interna","Médico Especialista","II Nivel","COLMED-CH-7691",25
688,1,688,"Dr. Carlos Arce Aguilar","Medicina Interna","Cirujano","II Nivel","COLMED-OR-6014",7
689,1,689,"Lic. Carmen Mercado Rocha","Cardiología","Técnico Sanitario","I Nivel","COLMED-CH-4916",20
690,1,690,"Dr. Martha Choque Pinto","Traumatología","Médico Especialista","I Nivel","COLMED-SC-9677",33
691,1,691,"Dra. Hugo Rojas Nina","Neurología","Cirujano","II Nivel","COLMED-CH-8683",15
692,1,692,"Dra. María Ticona Vargas","Dermatología","Cirujano","III Nivel","COLMED-CB-7952",6
693,1,693,"Dr. Ana Gutiérrez Pérez","Cardiología","Médico General","I Nivel","COLMED-TJ-1436",25
694,1,694,"Dra. Laura Gutiérrez Ticona","Urología","Médico Especialista","II Nivel","COLMED-CB-3355",3
695,1,695,"Lic. Carlos Vargas Rojas","Cardiología","Enfermera Jefe","I Nivel","COLMED-CH-4483",17
696,1,696,"Lic. Juan Salvatierra Rojas","Neurología","Enfermera Jefe","I Nivel","COLMED-TJ-6712",2
697,1,697,"Dra. Jorge Choque Quispe","Endocrinología","Médico General","II Nivel","COLMED-OR-9300",20
698,1,698,"Lic. Juan Salvatierra Aguilar","Pediatría","Técnico Sanitario","III Nivel","COLMED-PA-9514",37
699,1,699,"Lic. Carlos Choque Choque","Anestesiología","Enfermera","II Nivel","COLMED-CB-8832",31
700,1,700,"Lic. Hugo Ticona Mendoza","Pediatría","Técnico Sanitario","I Nivel","COLMED-LP-4275",24
701,1,701,"Dr. Rosa Aguilar Zárate","Medicina General","Médico Residente","I Nivel","COLMED-OR-2800",20
702,1,702,"Lic. Daniela Mercado Pinto","Medicina General","Enfermera","I Nivel","COLMED-LP-6864",22
703,1,703,"Dra. Juan Vargas Quispe","Anestesiología","Médico Residente","II Nivel","COLMED-CB-6811",21
704,1,704,"Dr. Jorge Mendoza Arce","Anestesiología","Médico General","II Nivel","COLMED-PA-3317",34
705,1,705,"Dra. Rosa Flores Gutiérrez","Oftalmología","Médico Especialista","II Nivel","COLMED-SC-4797",17
706,1,706,"Dr. Raúl Rojas Mamani","Ginecología y Obstetricia","Médico Residente","II Nivel","COLMED-PA-1317",33
707,1,707,"Dr. Raúl Nina Vaca","Ginecología y Obstetricia","Médico Especialista","I Nivel","COLMED-TJ-6538",12
708,1,708,"Lic. Juan Ticona Vaca","Endocrinología","Técnico Sanitario","I Nivel","COLMED-CH-3275",3
709,1,709,"Lic. Jorge Aguilar Choque","Traumatología","Enfermera Jefe","II Nivel","COLMED-PA-1415",8
710,1,710,"Dr. Carmen Vargas Zárate","Endocrinología","Médico Especialista","II Nivel","COLMED-LP-3966",31
711,1,711,"Dra. Javier Vaca Flores","Medicina General","Médico General","III Nivel","COLMED-OR-1966",7
712,1,712,"Dr. Hugo Zárate Gutiérrez","Medicina Interna","Médico Residente","II Nivel","COLMED-LP-3233",40
713,1,713,"Lic. Hugo Ticona Gutiérrez","Anestesiología","Enfermera Jefe","I Nivel","COLMED-BE-1040",14
714,1,714,"Dr. Pedro Condori Aguilar","Medicina Interna","Médico Residente","II Nivel","COLMED-LP-5101",32
715,1,715,"Lic. Pedro Pérez Rocha","Urología","Enfermera","II Nivel","COLMED-SC-3932",15
716,1,716,"Lic. Javier Rocha Mercado","Urología","Enfermera","I Nivel","COLMED-BE-2062",36
717,1,717,"Lic. Javier Rojas Mercado","Cirugía General","Enfermera Jefe","I Nivel","COLMED-PA-2494",34
718,1,718,"Dr. Marcos Arce Mamani","Anestesiología","Cirujano","I Nivel","COLMED-PO-2803",3
719,1,719,"Lic. Carmen Zárate Arce","Cardiología","Enfermera Jefe","I Nivel","COLMED-LP-9199",25
720,1,720,"Dr. Rosa Condori Flores","Medicina Interna","Médico General","II Nivel","COLMED-TJ-5549",31
721,1,721,"Lic. Jorge Quispe Aguilar","Neurología","Técnico Sanitario","III Nivel","COLMED-BE-1572",9
722,1,722,"Dr. Jorge Ticona Ticona","Cirugía General","Cirujano","I Nivel","COLMED-CB-1183",2
723,1,723,"Dr. Patricia Condori Vargas","Traumatología","Cirujano","II Nivel","COLMED-BE-5982",4
724,1,724,"Lic. Marcos Rocha Pinto","Traumatología","Enfermera Jefe","III Nivel","COLMED-CH-1054",13
725,1,725,"Dr. Silvia Vargas Mendoza","Urología","Cirujano","III Nivel","COLMED-SC-3763",30
726,1,726,"Dr. Carmen Gutiérrez Zárate","Medicina Interna","Médico Residente","I Nivel","COLMED-TJ-1525",16
727,1,727,"Dra. Silvia Pinto Aguilar","Urología","Médico General","II Nivel","COLMED-BE-4365",32
728,1,728,"Dr. Luis Aguilar Aguilar","Dermatología","Médico Residente","II Nivel","COLMED-LP-5851",19
729,1,729,"Dra. Javier Mercado Rojas","Cardiología","Cirujano","I Nivel","COLMED-OR-2294",36
730,1,730,"Lic. María Vargas Mamani","Ginecología y Obstetricia","Técnico Sanitario","I Nivel","COLMED-SC-2553",3
731,1,731,"Lic. Pedro Salvatierra Nina","Medicina Interna","Enfermera Jefe","I Nivel","COLMED-PA-1987",38
732,1,732,"Dr. Raúl Vaca Gutiérrez","Oftalmología","Médico General","II Nivel","COLMED-PO-3292",29
733,1,733,"Dr. Marcos Pinto Aguilar","Urología","Médico Especialista","III Nivel","COLMED-PA-5366",32
734,1,734,"Dra. Juan Vaca Zárate","Medicina General","Médico Especialista","I Nivel","COLMED-PA-7094",30
735,1,735,"Dr. Silvia Choque Choque","Medicina Interna","Médico Residente","II Nivel","COLMED-BE-1069",19
736,1,736,"Dra. María Pérez Mamani","Medicina Interna","Médico General","I Nivel","COLMED-PA-6305",14
737,1,737,"Lic. Martha Pinto Pinto","Traumatología","Enfermera","II Nivel","COLMED-BE-5669",11
738,1,738,"Lic. Patricia Rojas Rojas","Cirugía General","Enfermera Jefe","II Nivel","COLMED-CH-4154",36
739,1,739,"Lic. Luis Vaca Gutiérrez","Cirugía General","Enfermera","I Nivel","COLMED-CH-1262",25
